,State_Name,District_Name,Crop,Population,Ratio,Per,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
0,Andaman and Nicobar Islands,NICOBARS,Arecanut,42026,0.000125,10.35,3.622115875,4.207,4,4.96875,4.71,5.1783375,5.25325,6.358448875,5.796961375,5.89365625,6.34
1,Andaman and Nicobar Islands,NICOBARS,Other Kharif pulses,42026,0.00025,10.35,7.24423175,8.414,8,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
2,Andaman and Nicobar Islands,NICOBARS,Rice,42026,0.00125,10.35,36.22115875,43.73,41.66,49.6875,47.1,51.783375,52.5325,63.58448875,57.96961375,58.9465625,63.41
3,Andaman and Nicobar Islands,NICOBARS,Banana,42026,0.00075,10.35,21.73269525,26.232,24.99,29.8125,28.26,31.070025,31.5195,38.15069325,34.78176825,35.3619375,38.04
4,Andaman and Nicobar Islands,NICOBARS,Cashewnut,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
5,Andaman and Nicobar Islands,NICOBARS,Coconut ,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
6,Andaman and Nicobar Islands,NICOBARS,Dry ginger,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
7,Andaman and Nicobar Islands,NICOBARS,Sugarcane,42026,0.000125,10.35,3.622115875,4.377,4.17,4.96875,4.71,5.1783375,5.25325,6.358448875,5.796961375,5.89365625,6.34
8,Andaman and Nicobar Islands,NICOBARS,Sweet potato,42026,0.00125,10.35,36.22115875,43.73,41.66,49.6875,47.1,51.783375,52.5325,63.58448875,57.96961375,58.9465625,63.41
9,Andaman and Nicobar Islands,NICOBARS,Tapioca,42026,0.00125,10.35,36.22115875,43.73,41.66,49.6875,47.1,51.783375,52.5325,63.58448875,57.96961375,58.9465625,63.41
10,Andaman and Nicobar Islands,NICOBARS,Black pepper,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
11,Andaman and Nicobar Islands,NICOBARS,Dry chillies,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
12,Andaman and Nicobar Islands,NICOBARS,other oilseeds,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
13,Andaman and Nicobar Islands,NICOBARS,Turmeric,42026,0.0001875,10.35,5.433173813,6.5605,6.25,7.448125,7.06,7.76250625,7.879875,9.537673313,8.695442063,8.840484375,9.51
14,Andaman and Nicobar Islands,NICOBARS,Maize,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
15,Andaman and Nicobar Islands,NICOBARS,Moong(Green Gram),42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
16,Andaman and Nicobar Islands,NICOBARS,Urad,42026,0.00025,10.35,7.24423175,8.744,8.33,9.9375,9.42,10.356675,10.5065,12.71689775,11.59392275,11.7873125,12.68
17,Andhra Pradesh,ANANTAPUR,Arhar/Tur,3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
18,Andhra Pradesh,ANANTAPUR,Bajra,3639304,0.000625,8.72,1679.538796,1878.752,1877.88,2077.31,2076.22,2078.1929,2274.565,2475.272368,2472.907068,2669.36975,2671.25
19,Andhra Pradesh,ANANTAPUR,Castor seed,3639304,0.000625,8.72,1679.538796,1878.752,1877.88,2077.31,2076.22,2078.1929,2274.565,2475.272368,2472.907068,2669.36975,2671.25
20,Andhra Pradesh,ANANTAPUR,Cotton(lint),3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
